,cross_9_0,cross_angle_9_0,para_9_0,para_angle_9_0,dip_x_NPA_1-2-19,dip_y_NPA_1-2-19,dip_z_NPA_1-2-19,total_dipole_NPA_1-2-19,dip_x_NPA_20-19-27,dip_y_NPA_20-19-27,dip_z_NPA_20-19-27,total_dipole_NPA_20-19-27,dipole_x_1-2-19,dipole_y_1-2-19,dipole_z_1-2-19,total_dipole_1-2-19,dipole_x_20-19-27,dipole_y_20-19-27,dipole_z_20-19-27,total_dipole_20-19-27,B1_1-4,B5_1-4,L_1-4,loc_B5_1-4,B1_B5_angle_1-4,B1_4-1,B5_4-1,L_4-1,loc_B5_4-1,B1_B5_angle_4-1,aniso,iso
basic,1657.1445,90.0,1680.2718,90.0,5.256603190000001,-0.15304063500000004,1.6796437530000004,5.520552659840436,2.529466028,1.275037267,-6.630085639,7.209851177348876,-2.7532792405760182,3.530533715563723,2.8590035093859107,5.3122,-4.897080664123103,-0.6165810464452514,1.9640633243956545,5.3122,1.6991,5.8768,5.3493,3.797,21.4479,2.0563,3.4034,7.4167,3.7781,15.8439,144.75,979.091
m_Br,1641.5631,90.0,1669.3498,90.0,5.321496988000001,-0.227956134,1.4843226500000004,5.529331598088898,2.320814916,1.3407039200000002,-6.69456569,7.211163474305421,-0.6689455573149853,3.1706691481806413,2.6342573857017064,4.1761,-3.063361781179471,-1.6375647103304292,2.318219014047067,4.1761,1.6991,5.9254,7.0545,5.1045,2.6647,2.0456,3.4206,7.4085,3.7593,15.3178,167.296,145.873
m_Cl,1647.6226,90.0,1672.1898,90.0,5.30682176,-0.22114918799999977,1.4882100730000003,5.51597982022607,2.3379601809999997,1.3390651490000003,-6.671513014000001,7.195014883735775,-0.7818675438398932,3.1843211185028637,2.625917357447954,4.2008,-3.1471250484660827,-1.563781690996134,2.301488770822623,4.2008,1.6991,5.8868,6.7751,3.7831,21.9103,2.0455,3.4211,7.4074,3.7593,15.3529,158.957,131.355
m_F,1667.7992,90.0,1687.4749,90.0,5.489231515999999,-0.303864758,1.538555379,5.708865831463539,2.3924426690000002,1.3146885320000004,-6.979721808,7.494578332214225,-0.9996248475020864,3.2234694416971403,2.614497539241748,4.2691,-3.3217518862383972,-1.428708143249144,2.2694404393341614,4.2691,1.6991,5.8748,6.0469,3.818,21.7178,2.0509,3.4146,7.4117,3.766,15.8198,145.049,104.465
m_I,1635.9083,90.0,1665.1876,90.0,5.325433416,-0.22301207499999975,1.5390202200000003,5.5478427060808135,2.384560186,1.3237050880000003,-6.7140341459999995,7.246832201335104,-0.933374651400724,3.176520809464091,2.5699594777280392,4.1911,-3.2315894638610456,-1.4367470312649868,2.249166938049179,4.1911,1.6991,6.3463,7.274,5.124,4.1767,2.0471,3.4178,7.4089,3.7626,15.2995,179.167,163.638
m_nitro,1652.8928,90.0,1670.1614,90.0,5.118513372999999,-0.19353370500000006,1.310426684,5.287140298752256,2.1172704319999998,1.3929120060000002,-6.339884037000001,6.8276765844090646,2.4746132430897214,2.759156673224126,3.035741214222276,4.7909,-0.7190103152246946,-3.7483487151603967,2.8957360111301393,4.7909,1.6991,5.9955,6.7269,5.3769,5.5681,2.0317,3.9031,7.3992,3.321,22.9852,162.209,140.064
o_Br,1640.9503,90.0,1667.6032,90.0,5.082233276,-0.12561277300000012,1.300091798,5.2473910015977765,2.1061109299999994,1.470126949,-6.168448022999999,6.681820673146961,-1.2843014705665463,4.021685329518593,2.079828104203696,4.7063,-3.4789346094301377,-0.7671393756985231,3.0753177496906,4.7063,1.6992,5.9287,6.4798,3.7216,14.0777,2.0621,3.4409,7.3869,3.741,17.97,165.91500000000002,132.357
o_Cl,1644.3875,90.0,1669.8139,90.0,4.905724657000001,-0.08126936899999983,1.275007481,5.069357276543192,2.054565798,1.4369592440000003,-5.915386784,6.424787412167837,-1.3804018997538874,3.984196379932648,2.128311248686958,4.7232,-3.566960451240396,-0.7438095848071918,3.005424996707764,4.7232,1.6991,5.9114,6.2084,3.7537,22.4128,2.0642,3.4382,7.3896,3.744,17.9642,158.024,126.18499999999999
o_F,1661.2122,90.0,1690.3239,90.0,3.730464483,0.7677193060000002,1.1809833840000004,3.987540588509874,2.008763204,1.6793245810000001,-3.8603722090000003,4.6645186514917825,-1.7562993530974162,3.8970363376053268,1.8161322709795267,4.6443,-3.7019453152271438,-0.3127901990616542,2.7870377167233986,4.6443,1.6991,5.8831,5.7411,3.805,21.6629,2.0501,3.4217,7.4054,3.7581,16.0534,144.764,108.563
o_I,1636.0173,90.0,1662.2976,90.0,5.329469391,-0.20138557400000007,1.3355546720000002,5.497954748897289,2.172976242,1.4936357599999996,-6.531043626999999,7.0432453023889865,-1.3325100976901616,3.9733614390632233,2.2290122485350308,4.7468,-3.573795900350363,-0.8567546728667627,3.0042693260025644,4.7468,1.8233,5.9392,6.8523,3.7008,5.4571,2.0657,3.4422,7.3846,3.7405,18.0659,177.74499999999998,145.661
