combination,r2,adj_r2,q2,mae,rmsd,threshold,model,predictions
"('cross_12_0', 'para_12_0', 'Frequency_Stretch_3_8')",0.6258757561246107,0.5457062752941702,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.43178322 -0.15867652  0.78984591  0.60945348  0.11013206  1.01363304
  0.7412227   0.38021383  0.63060689  1.00145411  0.83274473  0.60858207
  0.08362739  0.07489501  0.60565997  0.98373718  0.67506339  0.70182154]"
"('cross_12_0', 'para_12_0', 'Amplitude_Stretch_3_8')",0.30556130881921895,0.15675301785190865,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.49722662 0.09031877 0.99091288 0.61609993 0.46010987 0.63221386
 0.65512345 0.44552996 0.27277285 0.74832889 0.77202366 0.77751351
 0.60555368 0.26757705 0.50410206 0.25897209 0.93554611 0.58587474]"
"('cross_12_0', 'para_12_0', 'dipole_x_23-1-3')",0.23412081638268012,0.070003848464683,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.57258034 0.37002008 0.90185753 0.63368766 0.27067328 0.57899472
 0.78630588 0.45723022 0.66826706 0.69240201 0.67044185 0.67672581
 0.53710398 0.24409556 0.85847349 0.30787823 0.68415521 0.20490709]"
"('cross_12_0', 'para_12_0', 'dipole_y_23-1-3')",0.5924563178577312,0.5051255288272452,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.31285849  0.05752618  0.82490886  0.6816879   0.12795099  1.02018682
  0.60694718  0.49890357  0.4352073   1.09323692  0.69799694  0.83355837
  0.12033069 -0.01033416  0.44623357  0.76909738  0.90189463  0.69760835]"
"('cross_12_0', 'para_12_0', 'dipole_z_23-1-3')",0.2352787454765013,0.07140990522146584,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.61050794 0.44134363 0.85228034 0.16637106 0.2706688  0.53017514
 0.75397816 0.42413308 0.63039066 0.64680646 0.58935711 0.6558637
 0.48454477 0.21902435 0.76341583 0.48763379 0.62326964 0.96603553]"
"('cross_12_0', 'para_12_0', 'total_dipole_23-1-3')",0.6832375781928375,0.6153599163770169,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.13241139 -0.07815301  0.90316359  0.6883519   0.13646738  1.04074356
  0.66132045  0.48387753  0.47955912  1.07809007  0.80040383  0.77907717
  0.1915869   0.01164609  0.36893988  0.78303512  0.86398551  0.79129351]"
"('cross_12_0', 'para_12_0', 'dipole_x_2-1-23')",0.6227401616652295,0.54189876773635,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.3552037   0.05863431  0.84182726  0.74638128  0.04596761  1.00582911
  0.76332734  0.48217075  0.54560413  1.1001057   0.78615864  0.85312095
  0.13661051 -0.04198875  0.50736287  0.57047423  0.8860973   0.47291305]"
"('cross_12_0', 'para_12_0', 'dipole_y_2-1-23')",0.11483842512521725,-0.07483905520509326,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.49596011 0.40505376 0.86676198 0.45726927 0.4971044  0.56366887
 0.40992059 0.49524436 0.41506738 0.62831992 0.44327164 0.60918193
 0.54406317 0.3539059  0.75096752 0.76262466 0.69866331 0.71875123]"
"('cross_12_0', 'para_12_0', 'dipole_z_2-1-23')",0.22833100235569403,0.06297336000334275,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.61200144 0.44922048 0.85489688 0.15908452 0.27957918 0.52769482
 0.74385275 0.42688903 0.6240074  0.64286302 0.58174733 0.65360686
 0.4898723  0.22642172 0.76106137 0.5034414  0.62272328 0.95683622]"
"('cross_12_0', 'para_12_0', 'total_dipole_2-1-23')",0.6832375781928375,0.6153599163770169,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.13241139 -0.07815301  0.90316359  0.6883519   0.13646738  1.04074356
  0.66132045  0.48387753  0.47955912  1.07809007  0.80040383  0.77907717
  0.1915869   0.01164609  0.36893988  0.78303512  0.86398551  0.79129351]"
